Method,mean,median,std,max
HC,0.12209443602972793,0.11940298507462686,0.035939240179097665,0.45652173913043476
NO-RL,0.1190648492294824,0.11764705882352941,0.03415316993492634,0.36363636363636365
RL,0.12123257861166768,0.11864406779661017,0.037174519578003294,0.5263157894736842
