,Mean_similarity,Max_similarity,Std_similarity
HC,0.14075489881553663,0.5915492957746479,0.03899585650895938
NO-RL,0.1400482576899589,0.6792452830188679,0.040284157159108366
RL,0.13940681072054079,0.5428571428571428,0.038758377566587725
