Method,Total,UV >= 0.5,% >= 0.5,UV >= 0.7,% >= 0.7,UV >= 0.8,% >= 0.8,UV >= 0.9,% >= 0.9
HC,9887,400,4.0457165975523415,148,1.4969151410943662,57,0.5765146151512086,6,0.06068574896328512
NO-RL,10071,198,1.966041108132261,56,0.5560520305828617,17,0.168801509284083,1,0.00992950054612253
RL,9920,338,3.407258064516129,110,1.1088709677419355,45,0.45362903225806456,2,0.020161290322580645
