Method,Molecules,Mean_UV,Max_UV,Mean_MolWt,Mean_LogP,Mean_TPSA,Mean_SA,Mean_Lmax,Mean_OS
HC,9887,0.07144453678120881,0.9698934252684394,330.2252994841712,1.8785732244361286,73.37089713765552,3.2762760417623378,277.06395907791244,0.16175657585593176
NO-RL,10071,0.05252045324591846,0.9128835358960784,325.59902671035655,1.4516085731307717,77.63346340979048,3.3110434538775615,276.26818877201123,0.1245677208366333
RL,9920,0.0626987910436734,0.9319448182325061,327.1312662298388,1.7015365977822585,75.11972983870967,3.2758725242473585,276.64481601253635,0.15018500720492034
