,Leverage,Warning_Leverage,In_Domain
0,0.00013479042705015552,0.0008785875658940674,True
1,8.638248033535423e-05,0.0008785875658940674,True
2,0.00018226060803293764,0.0008785875658940674,True
3,0.00012292321193137175,0.0008785875658940674,True
4,0.00011800878704028937,0.0008785875658940674,True
5,0.00011903487679476423,0.0008785875658940674,True
6,0.00041979914040266107,0.0008785875658940674,True
7,0.00010328198104693236,0.0008785875658940674,True
8,9.533888054598339e-05,0.0008785875658940674,True
9,0.0003331039814998509,0.0008785875658940674,True
10,0.00018667615180688825,0.0008785875658940674,True
11,8.12428226461475e-05,0.0008785875658940674,True
12,0.00011614543291477356,0.0008785875658940674,True
13,0.00011331757673179298,0.0008785875658940674,True
14,0.0004534210137201552,0.0008785875658940674,True
15,0.0001839914428830278,0.0008785875658940674,True
16,0.00024197712072738682,0.0008785875658940674,True
17,8.23445006609831e-05,0.0008785875658940674,True
18,0.0001954972235742556,0.0008785875658940674,True
19,0.0001240960018996441,0.0008785875658940674,True
20,0.00035572836317257516,0.0008785875658940674,True
21,0.000262591133574665,0.0008785875658940674,True
22,0.00019305069097756095,0.0008785875658940674,True
23,0.0002039851418125768,0.0008785875658940674,True
24,0.00011346047378123185,0.0008785875658940674,True
25,9.087448746896744e-05,0.0008785875658940674,True
26,0.00012786773857897423,0.0008785875658940674,True
27,0.00021630359938402035,0.0008785875658940674,True
28,9.437460336170257e-05,0.0008785875658940674,True
29,0.00019574414974844067,0.0008785875658940674,True
30,0.00020249564386040444,0.0008785875658940674,True
31,0.0018729050442491016,0.0008785875658940674,False
32,0.00023667654033465233,0.0008785875658940674,True
33,0.0001902590845158861,0.0008785875658940674,True
34,0.00016858075146372164,0.0008785875658940674,True
35,0.00019528538053100166,0.0008785875658940674,True
36,0.00023536083240030425,0.0008785875658940674,True
37,0.00023140207706295686,0.0008785875658940674,True
38,0.00023995977894121138,0.0008785875658940674,True
39,0.0004343276612351354,0.0008785875658940674,True
40,0.00018782905177258164,0.0008785875658940674,True
41,0.00013678893407471235,0.0008785875658940674,True
42,0.0016253533637877971,0.0008785875658940674,False
43,9.44529171953693e-05,0.0008785875658940674,True
44,0.00023960915831002115,0.0008785875658940674,True
45,8.095205812209867e-05,0.0008785875658940674,True
46,0.00028281863456650666,0.0008785875658940674,True
47,6.197584100000792e-05,0.0008785875658940674,True
48,0.00015689136251605316,0.0008785875658940674,True
49,0.00021762112690117407,0.0008785875658940674,True
50,0.00016093550784602556,0.0008785875658940674,True
51,0.00026801791991726525,0.0008785875658940674,True
52,0.0003421199494619081,0.0008785875658940674,True
53,0.00012095440374204417,0.0008785875658940674,True
54,8.760870336835975e-05,0.0008785875658940674,True
55,6.391670840184867e-05,0.0008785875658940674,True
56,0.00016226205096897745,0.0008785875658940674,True
57,0.000384593512689127,0.0008785875658940674,True
58,0.00025239967484335095,0.0008785875658940674,True
59,0.00012773796346541593,0.0008785875658940674,True
60,0.00023120882159691368,0.0008785875658940674,True
61,0.00019431137567051395,0.0008785875658940674,True
62,0.00015457919482901144,0.0008785875658940674,True
63,0.0001794024346589316,0.0008785875658940674,True
64,7.092174227742672e-05,0.0008785875658940674,True
65,6.31689523796365e-05,0.0008785875658940674,True
66,0.0004233114109624184,0.0008785875658940674,True
67,0.001489250055766735,0.0008785875658940674,False
68,0.0003190697783179294,0.0008785875658940674,True
69,0.0001566388811881933,0.0008785875658940674,True
70,0.0004083768457256002,0.0008785875658940674,True
71,0.00014993368915151492,0.0008785875658940674,True
72,0.000346220719242724,0.0008785875658940674,True
73,9.777347228800424e-05,0.0008785875658940674,True
74,0.00023277322513078115,0.0008785875658940674,True
75,0.00015522915353043384,0.0008785875658940674,True
76,0.0002812718755767957,0.0008785875658940674,True
77,0.0003607359881073286,0.0008785875658940674,True
78,0.00024111782646385688,0.0008785875658940674,True
79,0.00034073154002367306,0.0008785875658940674,True
80,9.220443190540147e-05,0.0008785875658940674,True
81,0.00010592381857504265,0.0008785875658940674,True
82,0.00021865140232363243,0.0008785875658940674,True
83,0.0001041136824606558,0.0008785875658940674,True
84,6.730588072843084e-05,0.0008785875658940674,True
85,0.00032774948807869585,0.0008785875658940674,True
86,0.0001748265539515609,0.0008785875658940674,True
87,9.18751060221041e-05,0.0008785875658940674,True
88,0.00014145099842535698,0.0008785875658940674,True
89,0.0004611326268991872,0.0008785875658940674,True
90,0.00016698082868603302,0.0008785875658940674,True
91,0.00031111584922039983,0.0008785875658940674,True
92,0.00014877389577739442,0.0008785875658940674,True
93,0.000254270486557889,0.0008785875658940674,True
94,0.00020244007090674577,0.0008785875658940674,True
95,0.0002650854910072954,0.0008785875658940674,True
96,0.00015970922052460645,0.0008785875658940674,True
97,0.000157565325096086,0.0008785875658940674,True
98,0.00040824242861364806,0.0008785875658940674,True
99,0.00010273124694655079,0.0008785875658940674,True
100,0.00017080914979524073,0.0008785875658940674,True
101,0.0001465362920714167,0.0008785875658940674,True
102,0.00018610357125823984,0.0008785875658940674,True
103,0.0001896165262815194,0.0008785875658940674,True
104,0.0001659819751075236,0.0008785875658940674,True
105,0.00018498049448758218,0.0008785875658940674,True
106,0.00010667714949929995,0.0008785875658940674,True
107,0.0001533049111021601,0.0008785875658940674,True
108,0.00030024298311188383,0.0008785875658940674,True
109,0.00012620431024363654,0.0008785875658940674,True
110,0.0001287855008091206,0.0008785875658940674,True
111,7.717552339015915e-05,0.0008785875658940674,True
112,0.0003262618745060949,0.0008785875658940674,True
113,9.246292263416279e-05,0.0008785875658940674,True
114,0.00031709944966220487,0.0008785875658940674,True
115,0.0018204025709303365,0.0008785875658940674,False
116,0.00025903746166419775,0.0008785875658940674,True
117,0.00025735956601021816,0.0008785875658940674,True
118,0.00035667843238752344,0.0008785875658940674,True
119,0.00016691938840757462,0.0008785875658940674,True
120,0.00010475924463606296,0.0008785875658940674,True
121,0.00022920117392490055,0.0008785875658940674,True
122,0.0002047257283744759,0.0008785875658940674,True
123,0.000326365573641469,0.0008785875658940674,True
124,0.00017008251695254067,0.0008785875658940674,True
125,4.979318101010983e-05,0.0008785875658940674,True
126,0.00010954702355984094,0.0008785875658940674,True
127,0.0001779668043797161,0.0008785875658940674,True
128,0.00015485161870837282,0.0008785875658940674,True
129,9.976540849068728e-05,0.0008785875658940674,True
130,0.00017205748833542595,0.0008785875658940674,True
131,0.0001114843957969227,0.0008785875658940674,True
132,0.00012557849415698415,0.0008785875658940674,True
133,0.0006414394132897044,0.0008785875658940674,True
134,0.0003502972637796447,0.0008785875658940674,True
135,0.00011690976390925213,0.0008785875658940674,True
136,0.00025736200072141703,0.0008785875658940674,True
137,0.00014896707464732414,0.0008785875658940674,True
138,0.0002941920145584466,0.0008785875658940674,True
139,0.00043457243092646014,0.0008785875658940674,True
140,0.0001980257211876033,0.0008785875658940674,True
141,0.00017306252739611108,0.0008785875658940674,True
142,0.00025681597098908896,0.0008785875658940674,True
143,0.0005591257874675388,0.0008785875658940674,True
144,0.00018285763597185293,0.0008785875658940674,True
145,0.00012373644617845667,0.0008785875658940674,True
146,0.0002855600396205373,0.0008785875658940674,True
147,0.00033672763419348765,0.0008785875658940674,True
148,0.00024080072457258192,0.0008785875658940674,True
149,0.0005921192192726595,0.0008785875658940674,True
150,8.689745797605166e-05,0.0008785875658940674,True
151,0.00048623973715929044,0.0008785875658940674,True
152,0.00014726704196178325,0.0008785875658940674,True
153,0.00024873454627239556,0.0008785875658940674,True
154,0.0001831655078772509,0.0008785875658940674,True
155,0.00018380045534378915,0.0008785875658940674,True
156,0.0004580797066703058,0.0008785875658940674,True
157,0.00015657941786309187,0.0008785875658940674,True
158,0.00014262577883008033,0.0008785875658940674,True
159,8.926404202704255e-05,0.0008785875658940674,True
160,0.00015798915402657064,0.0008785875658940674,True
161,0.00013379756511034237,0.0008785875658940674,True
162,0.00019396561617751005,0.0008785875658940674,True
163,0.0002300562768682438,0.0008785875658940674,True
164,9.552955321506207e-05,0.0008785875658940674,True
165,0.00012949354001505774,0.0008785875658940674,True
166,8.228425034623196e-05,0.0008785875658940674,True
167,0.00011973103095428091,0.0008785875658940674,True
168,0.00045375160743892567,0.0008785875658940674,True
169,0.0002467336591276031,0.0008785875658940674,True
170,0.00016269788667056458,0.0008785875658940674,True
171,0.0001769506041562656,0.0008785875658940674,True
172,8.494603001484927e-05,0.0008785875658940674,True
173,0.0002330176810998441,0.0008785875658940674,True
174,0.0001437614762844179,0.0008785875658940674,True
175,0.00011586941148385981,0.0008785875658940674,True
176,0.000307841601794387,0.0008785875658940674,True
177,0.0001923260088444624,0.0008785875658940674,True
178,0.00024054649627211442,0.0008785875658940674,True
179,0.0002582190468212088,0.0008785875658940674,True
180,0.00024273808282937578,0.0008785875658940674,True
181,0.00026814206291657974,0.0008785875658940674,True
182,6.945792428046039e-05,0.0008785875658940674,True
183,0.00020184233641931524,0.0008785875658940674,True
184,0.00018921267079879804,0.0008785875658940674,True
185,0.00021650996211959145,0.0008785875658940674,True
186,0.00020586215061796912,0.0008785875658940674,True
187,0.0001773336677269117,0.0008785875658940674,True
188,0.0002535408846264109,0.0008785875658940674,True
189,0.0008617235317331096,0.0008785875658940674,True
190,0.00014867116957622978,0.0008785875658940674,True
191,0.00014342274177048963,0.0008785875658940674,True
192,0.0005522496950885252,0.0008785875658940674,True
193,0.00010553259016023953,0.0008785875658940674,True
194,0.0018516378538630807,0.0008785875658940674,False
195,0.00045949328123427637,0.0008785875658940674,True
