PC1,PC2,Method
-0.4035120922892486,-1.484645886473899,RL
-0.546898545688368,-2.1128181935078283,RL
0.8618595044772521,0.3828229324226525,RL
-1.1076974425629567,-0.3313242254684116,RL
0.4429448670669958,0.1848855732159678,RL
0.473784307974243,-1.064334580076573,RL
-1.6194568077069333,0.08043842223829513,RL
1.0393401422238127,0.781402619137885,RL
-0.6318422298171346,0.2449981315691371,RL
0.8695268915828769,-0.19116510531474015,RL
1.0905167405975194,-1.3687254885729434,RL
-0.7195198870520567,0.07438891025256608,RL
-1.338699862886216,-0.3355637183339905,RL
0.44625871797755157,0.5254374433322564,RL
0.6264205559228853,-0.8049241382374736,RL
0.32359758342215705,0.4882071031451488,RL
-0.4916563486688621,-0.11550630965538361,RL
0.23467108402376896,0.7077036171859333,RL
-1.7993503636118002,0.12568166648805412,RL
0.3004936332969461,-0.09464656079616834,RL
0.11813042630769233,-0.41751423449227626,RL
-0.05325360983262344,-1.2926489224822675,RL
0.8701448633589836,0.0006922632311806378,RL
-0.2545641287043768,-0.5059365280088785,RL
-1.5093246934815154,0.49952392590855615,RL
-2.048087556221855,-0.9251153691217048,RL
-1.9876876156546057,-0.7247809723914022,RL
2.1494873958517,-1.1623272764927879,RL
0.22445444007990217,-0.10793271907194672,RL
0.41511037548945867,-0.28565299770266583,RL
-0.41004701559427836,0.23188644629548708,RL
0.0733374918178292,-0.8518935164651432,RL
1.4273172061850008,-1.4672182417361257,RL
0.5024346733799893,0.5143483241664748,RL
0.6920110714454604,0.4157481172498088,RL
0.9692240537296072,-0.9379845931303635,RL
0.22035586759211373,-0.1682546800591732,RL
-1.2013615668529354,0.49577925316080546,RL
-0.14056656291345876,-0.4188770508455087,RL
-0.4207483229705707,-0.44665291812742325,RL
1.1880164636172013,-1.244522343941751,RL
-0.11287926238959575,-0.035291324056937044,RL
0.8656051381924293,-0.8969909294443429,RL
0.7369097841932747,-0.15261374187546117,RL
0.5219943112635363,-0.7584490119791228,RL
1.3015516280238153,-0.13398543530153717,RL
0.7629897476985465,0.11725332006009308,RL
-0.7107957919829004,-0.3231150171046448,RL
1.3725804040964302,-1.3571224734611391,RL
-0.29638084299659356,-0.7806955408307763,RL
-0.6448565257057459,-1.3890608471181132,RL
0.8188602645150108,0.18227809805511927,RL
1.5892362562636313,0.33608845049458774,RL
