Feature,UV_Filter_Score,Mean_Importance
Lmax,0.6890237587189206,0.6890237587189206
OS,0.25336909243890193,0.25336909243890193
LogP,0.05745593102304509,0.05745593102304509
TPSA,5.717127843667643e-05,5.717127843667643e-05
SA_Score,4.852810024813882e-05,4.852810024813882e-05
MolWt,4.5518440447587196e-05,4.5518440447587196e-05
