Method,Pareto_Molecules,Total_Molecules,Pareto_Percentage,Own_Pareto_Molecules,Hypervolume,Spacing
HC,83,9887,0.8394861939921108,143,0.8562,0.06874301078651573
NO-RL,29,10071,0.2879555158375534,94,0.80153,0.07787076940423664
RL,62,9920,0.625,102,0.86683,0.055656098680064256
