Method,Top_1_percent_molecules,Mean_UV_Filter_Score,Unique_Scaffolds,Mean_Octocrylene_Similarity
HC,98,0.8207771319260212,,0.12244813631202445
NO-RL,100,0.717630360193591,,0.12326394443049901
RL,99,0.7973403801071355,,0.12314377433941243
