Method,Lmax,OS,UV_Filter_Score,LogP,SA_Score
HC,277.06395907791244,0.16175657585593176,0.07144453678120881,1.8785732244361286,3.2762760417623378
NO-RL,276.26818877201123,0.1245677208366333,0.05252045324591846,1.4516085731307717,3.3110434538775615
RL,276.64481601253635,0.15018500720492034,0.0626987910436734,1.7015365977822585,3.2758725242473585
